timestamp,bgw_ms,att1_ms,att2_ms,cloudflare_ms,google_ms
2026-09-01 23:59:29,0.870,2.43,1.78,6.10,6.10
2026-09-01 23:59:30,0.289,1.60,1.84,6.53,6.11
2026-09-01 23:59:31,0.801,1.26,1.76,6.32,6.17
2026-09-01 23:59:32,0.723,1.53,1.84,5.91,6.05
2026-09-01 23:59:33,306,307,307,311,311
2026-09-01 23:59:35,0.748,1.74,1.68,6.32,6.25
2026-09-01 23:59:36,0.802,1.21,1.91,6.34,6.16
2026-09-01 23:59:37,0.768,1.52,1.70,6.14,5.77
2026-09-01 23:59:38,0.886,1.27,2.21,6.46,6.17
2026-09-01 23:59:39,0.752,2.01,1.81,6.28,6.04
2026-09-01 23:59:40,0.747,1.85,1.95,6.20,5.97
2026-09-01 23:59:41,0.703,1.37,1.71,6.03,5.79
2026-09-01 23:59:42,0.696,1.91,1.60,5.78,6.24
2026-09-01 23:59:43,0.786,1.76,1.99,6.02,6.12
2026-09-01 23:59:44,1.03,1.58,1.91,6.43,6.76
2026-09-01 23:59:45,159,160,159,LOSS,LOSS
2026-09-01 23:59:47,0.795,1.65,1.25,6.30,5.99
2026-09-01 23:59:48,0.792,2.18,1.81,6.13,5.64
2026-09-01 23:59:49,0.740,1.85,1.51,5.81,5.92
2026-09-01 23:59:50,0.813,1.88,1.40,5.44,6.04
2026-09-01 23:59:52,0.743,1.80,1.71,5.84,6.17
2026-09-01 23:59:53,0.838,1.84,1.77,6.26,6.08
2026-09-01 23:59:54,0.796,1.80,1.33,6.34,6.16
2026-09-01 23:59:55,0.429,1.44,1.36,6.19,6.06
2026-09-01 23:59:56,0.800,1.84,1.93,6.47,6.05
2026-09-01 23:59:57,0.746,1.72,1.53,6.23,6.14
2026-09-01 23:59:58,0.906,1.66,1.85,6.44,6.06
2026-09-01 23:59:59,0.590,1.85,1.41,6.44,6.12
